t_yr,nearest_event_index,relative_to_entry,relative_to_exit,in_training_window,in_physical_window,in_post_to_physical_end,in_post_fixed,pos_noNN_err,pos_encounterNN_err,pos_gain_instant_pct,vel_noNN_err,vel_encounterNN_err,vel_gain_instant_pct
81.91638327665534,1,-0.643616723343257,-1.1436167233432428,0,1,0,0,1.481346797286697,1.481346797286697,0.0,1.1421244906331889,1.1421244906331889,0.0
81.9363872774555,1,-0.6236127225431005,-1.1236127225430863,0,1,0,0,1.4581166982100724,1.4581166982100724,0.0,1.1060813705686865,1.1060813705686865,0.0
81.95639127825565,1,-0.603608721742944,-1.1036087217429298,0,1,0,0,1.4666980777446126,1.4666980777446126,0.0,1.1127849026126386,1.1127849026126386,0.0
81.97639527905581,1,-0.5836047209427875,-1.0836047209427733,0,1,0,0,1.4751949644114597,1.4751949644114597,0.0,1.1194567535993774,1.1194567535993774,0.0
81.99639927985598,1,-0.5636007201426168,-1.0636007201426025,0,1,0,0,1.4836067714988939,1.4836067714988939,0.0,1.126096556962976,1.126096556962976,0.0
82.01640328065614,1,-0.5435967193424602,-1.043596719342446,0,1,0,0,1.459883270941871,1.459883270941871,0.0,1.0920491737725273,1.0920491737725273,0.0
82.03640728145629,1,-0.5235927185423037,-1.0235927185422895,0,1,0,0,1.4684343937695756,1.4684343937695756,0.0,1.0989659980752886,1.0989659980752886,0.0
82.05641128225645,1,-0.5035887177421472,-1.003588717742133,0,1,0,0,1.4769014942178131,1.4769014942178131,0.0,1.1058518159558453,1.1058518159558453,0.0
82.07641528305662,1,-0.48358471694197647,-0.9835847169419623,0,1,0,0,1.4852839695529019,1.4852839695529019,0.0,1.1127062093818452,1.1127062093818452,0.0
82.09641928385678,1,-0.46358071614181995,-0.9635807161418057,0,1,0,0,1.4610932387745055,1.4610932387745055,0.0,1.0803932370494649,1.0803932370494649,0.0
82.11642328465693,1,-0.44357671534166343,-0.9435767153416492,0,1,0,0,1.4696092802096112,1.4696092802096112,0.0,1.087519245600233,1.087519245600233,0.0
82.13642728545709,1,-0.4235727145415069,-0.9235727145414927,0,1,0,0,1.4780418509852913,1.4780418509852913,0.0,1.0946148184418354,1.0946148184418354,0.0
82.15643128625726,1,-0.4035687137413362,-0.903568713741322,0,1,0,0,1.4863903267737464,1.4863903267737464,0.0,1.10167947754108,1.10167947754108,0.0
82.17643528705742,1,-0.38356471294117966,-0.8835647129411655,0,1,0,0,1.4617633934640657,1.4617633934640657,0.0,1.0708987998267223,1.0708987998267223,0.0
82.19643928785757,1,-0.36356071214102315,-0.8635607121410089,0,1,0,0,1.4702408776820963,1.4702408776820963,0.0,1.0782307793036627,1.0782307793036627,0.0
82.21644328865773,1,-0.3435567113408666,-0.8435567113408524,0,1,0,0,1.478635504237895,1.478635504237895,0.0,1.0855327779506798,1.0855327779506798,0.0
82.2364472894579,1,-0.3235527105406959,-0.8235527105406817,0,1,0,0,1.4869466222412688,1.4869466222412688,0.0,1.092804247544951,1.092804247544951,0.0
82.25645129025806,1,-0.3035487097405394,-0.8035487097405252,0,1,0,0,1.46192572434233,1.46192572434233,0.0,1.0634167551609177,1.0634167551609177,0.0
82.27645529105821,1,-0.28354470894038286,-0.7835447089403687,0,1,0,0,1.4703622893254162,1.4703622893254162,0.0,1.0709516872498135,1.0709516872498135,0.0
82.29645929185837,1,-0.26354070814022634,-0.7635407081402121,0,1,0,0,1.4787166559696197,1.4787166559696197,0.0,1.0784569753106013,1.0784569753106013,0.0
82.31646329265854,1,-0.2435367073400556,-0.7435367073400414,0,1,0,0,1.4869881424203015,1.4869881424203015,0.0,1.08593198883298,1.08593198883298,0.0
