r_AU,F_exact,F_no_nn_softened,F_simon_corrected,c_pred,rel_err_no_nn_softened,rel_err_simon_corrected
2.619468386196082411e-05,1.457382925834823959e+07,9.591833512486695327e+03,3.752072331140149618e+05,3.911736297607421875e+01,9.993418453487786790e-01,9.742547256137855660e-01
2.642087567640787857e-05,1.432536132951281965e+07,9.672755088088326374e+03,3.780307321331025450e+05,3.908201217651367188e+01,9.993247810742363901e-01,9.736110857214965719e-01
2.664902066338385101e-05,1.408112950846797414e+07,9.754326315286174577e+03,3.808632717997341533e+05,3.904557418823242188e+01,9.993072767131770950e-01,9.729522215124366546e-01
2.687913568858716127e-05,1.384106157418582961e+07,9.836551548745392211e+03,3.837046098680226132e+05,3.900804138183593750e+01,9.992893210180431307e-01,9.722778048626234959e-01
2.711123776335199769e-05,1.360508653692844696e+07,9.919435149153041493e+03,3.865664920535640558e+05,3.897061538696289062e+01,9.992709024582658861e-01,9.715866201215036524e-01
2.734534404590589004e-05,1.337313461725566536e+07,1.000298148249707629e+04,3.894390816489828285e+05,3.893230056762695312e+01,9.992520092133381215e-01,9.708789978718616043e-01
2.758147184263813116e-05,1.314513722539083660e+07,1.008719491932107849e+04,3.923263285237582168e+05,3.889350128173828125e+01,9.992326291657239734e-01,9.701542614735165770e-01
2.781963860937916263e-05,1.292102694093835913e+07,1.017207983395423980e+04,3.952273101155140903e+05,3.885412979125976562e+01,9.992127498936074215e-01,9.694120821880422012e-01
2.805986195269105320e-05,1.270073749294696748e+07,1.025764060371593769e+04,3.981448277754096780e+05,3.881446456909179688e+01,9.991923586634703369e-01,9.686518339587358861e-01
2.830215963116885648e-05,1.248420374031313509e+07,1.034388160809425426e+04,4.010682021678340388e+05,3.877347183227539062e+01,9.991714424224996671e-01,9.678739461073732064e-01
2.854654955675374578e-05,1.227136165251811408e+07,1.043080722789804167e+04,4.040093517077073338e+05,3.873231887817382812e+01,9.991499877908204263e-01,9.670770560637168556e-01
2.879304979605694018e-05,1.206214829069387168e+07,1.051842184438155709e+04,4.069574859666979173e+05,3.868997573852539062e+01,9.991279810535493855e-01,9.662616081182925365e-01
2.904167857169535010e-05,1.185650178901157528e+07,1.060672983834131628e+04,4.099205875682597980e+05,3.864721679687500000e+01,9.991054081526667963e-01,9.654265149313966399e-01
2.929245426363867482e-05,1.165436133638745919e+07,1.069573558918437084e+04,4.128996056988629862e+05,3.860413360595703125e+01,9.990822546787021530e-01,9.645712370003750591e-01
2.954539541056816528e-05,1.145566715850054473e+07,1.078544347396738704e+04,4.158869208837437327e+05,3.856002044677734375e+01,9.990585058622305503e-01,9.636959667970853571e-01
2.980052071124708948e-05,1.126036050011698343e+07,1.087585786640582046e+04,4.188830367649443797e+05,3.851494216918945312e+01,9.990341465651749742e-01,9.628002108138018489e-01
3.005784902590304626e-05,1.106838360771572590e+07,1.096698313585254982e+04,4.218985577163401758e+05,3.846988296508789062e+01,9.990091612719125269e-01,9.618825500932010053e-01
3.031739937762222554e-05,1.087967971241040155e+07,1.105882364624520960e+04,4.249187110464798170e+05,3.842350006103515625e+01,9.989835340801778152e-01,9.609438216676748912e-01
3.057919095375574389e-05,1.069419301316233352e+07,1.115138375502156305e+04,4.279510694861279335e+05,3.837649917602539062e+01,9.989572486917623895e-01,9.599828552786162650e-01
3.084324310733784538e-05,1.051186866027994826e+07,1.124466781200207697e+04,4.309987438178627053e+05,3.832916641235351562e+01,9.989302884030037966e-01,9.589988461855093460e-01
3.110957535851692306e-05,1.033265273919911683e+07,1.133868015823921996e+04,4.340533565963063156e+05,3.828076553344726562e+01,9.989026360950636896e-01,9.579920696502619570e-01
3.137820739599834813e-05,1.015649225454037264e+07,1.143342512483241444e+04,4.371164982397606364e+05,3.823145675659179688e+01,9.988742742239851147e-01,9.569618636745031992e-01
3.164915907849998760e-05,9.983335114437809214e+06,1.152890703170809320e+04,4.401895065334048122e+05,3.818137359619140625e+01,9.988451848105314168e-01,9.559075698163426171e-01
3.192245043622028862e-05,9.813130115135150030e+06,1.162513018636402194e+04,4.432725236050703097e+05,3.813054275512695312e+01,9.988153494297977719e-01,9.548286307830163855e-01
3.219810167231901401e-05,9.645826925844427198e+06,1.172209888257712555e+04,4.463727175564171630e+05,3.807958984375000000e+01,9.987847492005927919e-01,9.537237480012797919e-01
3.247613316441076464e-05,9.481376073862843215e+06,1.181981739907400151e+04,4.494718405723569449e+05,3.802696990966796875e+01,9.987533647745862053e-01,9.525942397948533591e-01
3.275656546607139027e-05,9.319728929943349212e+06,1.191828999816330361e+04,4.525858601859904593e+05,3.797406005859375000e+01,9.987211763252179519e-01,9.514378729694725756e-01
3.303941930835752597e-05,9.160837693914584816e+06,1.201752092432926656e+04,4.557069386652635294e+05,3.792021179199218750e+01,9.986881635363638043e-01,9.502548834624607865e-01
3.332471560133882057e-05,9.004655380546221510e+06,1.211751440278530026e+04,4.588368217962660128e+05,3.786558914184570312e+01,9.986543055907544097e-01,9.490444883890233330e-01
3.361247543564417151e-05,8.851135805654851720e+06,1.221827463798725330e+04,4.619703241274702596e+05,3.780978393554687500e+01,9.986195811581399795e-01,9.478066618487170913e-01
3.390272008402055691e-05,8.700233572447178885e+06,1.231980581210496166e+04,4.651127102797341649e+05,3.775325012207031250e+01,9.985839683832028468e-01,9.465402041902987174e-01
3.419547100290571822e-05,8.551904058095823973e+06,1.242211208345162231e+04,4.682616045399417053e+05,3.769581222534179688e+01,9.985474448732043484e-01,9.452447546933535616e-01
3.449074983401430734e-05,8.406103400544064119e+06,1.252519758486990759e+04,4.714221983192282496e+05,3.763790512084960938e+01,9.985099876853693601e-01,9.439190578730310976e-01
3.478857840593779636e-05,8.262788485535497777e+06,1.262906642207404548e+04,4.745826586501447018e+05,3.757860183715820312e+01,9.984715733139990501e-01,9.425638621294820663e-01
3.508897873575814305e-05,8.121916933864880353e+06,1.273372267194687083e+04,4.777574281080001383e+05,3.751906967163085938e+01,9.984321776773100732e-01,9.411767650422576681e-01
3.539197303067540196e-05,7.983447088846299797e+06,1.283917038079102167e+04,4.809292546542072669e+05,3.745796966552734375e+01,9.983917761039928784e-01,9.397591980879894669e-01
3.569758368964948435e-05,7.847338003994974308e+06,1.294541356253332924e+04,4.841074745246478706e+05,3.739606094360351562e+01,9.983503433194870214e-01,9.383093382395156778e-01
3.600583330505572130e-05,7.713549430919218808e+06,1.305245619688137231e+04,4.872920299580309656e+05,3.733335876464843750e+01,9.983078534319671515e-01,9.368264850932626064e-01
3.631674466435544314e-05,7.582041807418534532e+06,1.316030222743157356e+04,4.904812570762720425e+05,3.726975631713867188e+01,9.982642799180353466e-01,9.353101355104151970e-01
3.663034075178026039e-05,7.452776245784916915e+06,1.326895555972745933e+04,4.936724270027162274e+05,3.720507049560546875e+01,9.982195956081155730e-01,9.337599290892540926e-01
3.694664475003125249e-05,7.325714521303466521e+06,1.337842005926741331e+04,4.968650714305047295e+05,3.713929367065429688e+01,9.981737726715445014e-01,9.321752069391182616e-01
3.726568004199277300e-05,7.200819060949065723e+06,1.348869954946093458e+04,5.000631874572052038e+05,3.707275009155273438e+01,9.981267826013554556e-01,9.305546795129029380e-01
3.758747021246099985e-05,7.078052932275798172e+06,1.359979780953227419e+04,5.032631783025803743e+05,3.700519561767578125e+01,9.980785961987488353e-01,9.288980764741516793e-01
3.791203904988749509e-05,6.957379832495749928e+06,1.371171857237066251e+04,5.064661958619276993e+05,3.693674087524414062e+01,9.980291835572455694e-01,9.272044637413093815e-01
