time,rmin_ias15,rmin_noNN,rmin_v4,pair_ias15,pair_noNN,pair_v4,err_noNN,err_v4
2.584516903380676212e+01,9.556873420954217213e-01,9.607700957890012994e-01,9.607700957890012994e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.665382328726846758e-02,1.665382328726846758e-02
2.586517303460692219e+01,9.587588083880731471e-01,9.607700957890012994e-01,9.607700957890012994e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.998222307296832270e-02,1.998222307296832270e-02
2.588517703540708226e+01,9.616814031972941157e-01,9.663517840631672406e-01,9.663517840631672406e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.674334896306187148e-02,1.674334896306187148e-02
2.590518103620724233e+01,9.644551287921947491e-01,9.663517840631672406e-01,9.663517840631672406e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.016640855666177248e-02,2.016640855666177248e-02
2.592518503700740240e+01,9.670799947058821289e-01,9.713399985937035686e-01,9.713399985937035686e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.682582074622048299e-02,1.682582074622048299e-02
2.594518903780756247e+01,9.695560164142678072e-01,9.713399985937035686e-01,9.713399985937035686e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.033446886676988988e-02,2.033446886676988988e-02
2.596519303860772254e+01,9.718832141296923632e-01,9.757348269352869030e-01,9.757348269352869030e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.690059134436630930e-02,1.690059134436630930e-02
2.598519703940788261e+01,9.740616117011280384e-01,9.757348269352869030e-01,9.757348269352869030e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.048651681051046752e-02,2.048651681051046752e-02
2.600520104020804268e+01,9.760912356134925361e-01,9.795364123244110210e-01,9.795364123244110210e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.696709749321737015e-02,1.696709749321737015e-02
2.602520504100820276e+01,9.779721140793251610e-01,9.795364123244110210e-01,9.795364123244110210e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.062265670930666511e-02,2.062265670930666511e-02
2.604520904180836283e+01,9.797042762167370578e-01,9.827449238461489767e-01,9.827449238461489767e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.702485119984915515e-02,1.702485119984915515e-02
2.606521304260852290e+01,9.812877513081514902e-01,9.827449238461489767e-01,9.827449238461489767e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.074298434972491820e-02,2.074298434972491820e-02
2.608521704340868297e+01,9.827225681349208708e-01,9.853605320076164187e-01,9.853605320076164187e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.707343215583122589e-02,1.707343215583122589e-02
2.610522104420884304e+01,9.840087543834311612e-01,9.853605320076164187e-01,9.853605320076164187e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.084758699073667801e-02,2.084758699073667801e-02
