t_yr,ias15_rmin,noNN_rmin,unguarded_rmin,guarded_rmin,ias15_pair,noNN_pair,unguarded_pair,guarded_pair,noNN_err,unguarded_err,guarded_err,unguarded_minus_noNN,guarded_minus_noNN
75.0750150030006,1.0251474174261135,0.8919470308631658,0.7215836274095918,0.7752454184666976,0-1,0-2,0-2,0-1,2.11577981424231,0.9329130702339785,0.993238859800674,-1.1828667440083314,-1.1225409544416358
75.09501900380076,1.0276417765975023,0.8982550069722165,0.7225604890257173,0.7764815984484957,0-1,0-2,0-2,0-1,2.117903343927522,0.9227978595544041,0.9972509007220529,-1.195105484373118,-1.1206524432054692
75.11502300460093,1.0300904537811535,0.9043185932327056,0.7236415755558007,0.7777987508747024,0-1,0-2,0-2,0-1,2.119851119919511,0.9126612356103697,1.0012553628153542,-1.207189884309141,-1.1185957571041567
75.13502700540108,1.032492875491756,0.9101393884653831,0.7248253764151437,0.7791955029916257,0-1,0-2,0-2,0-1,2.121625055171736,0.9025078058164345,1.0052501530821603,-1.2191172493553015,-1.1163749020895757
75.15503100620124,1.0348484883395948,0.9157189283379106,0.7261102441174041,0.7806704143654626,0-1,0-2,0-2,0-1,2.1232269775658708,0.8923422085667552,1.009233271318008,-1.2308847689991156,-1.1139937062478626
75.1750350070014,1.037156758487683,0.9210586848823493,0.7274944002737832,0.7822219814405775,0-1,0-2,0-2,0-1,2.124658633780975,0.8821691046844942,1.0132028103148747,-1.2424895290964808,-1.1114558234661003
75.19503900780157,1.0394171711240363,0.9261600662277809,0.7289759419599562,0.7838486422109303,0-1,0-2,0-2,0-1,2.1259216929327946,0.8719931690938173,1.0171569558518936,-1.2539285238389772,-1.108764737080901
75.21504300860173,1.0416292299490526,0.9310244165080377,0.7305528484010919,0.7855487809826806,0-1,0-2,0-2,0-1,2.127017749995111,0.8618190827626675,1.021093986488292,-1.2651986672324433,-1.1059237635068189
75.23504700940188,1.0437924566779802,0.9356530159105859,0.7322229879244573,0.7873207332064647,0-1,0-2,0-2,0-1,2.1279483290145875,0.8516515249604912,1.0250122731729943,-1.2762968040540963,-1.1029360558415933
75.25505101020204,1.045906390558365,0.9400470808377459,0.7339841251288776,0.7849521025097168,0-1,0-2,0-2,1-2,2.1287148861301106,0.8414951658705924,1.0289102786857474,-1.2872197202595181,-1.0998046074443633
75.27505501100221,1.0479705879024146,0.9442077641557669,0.7358339282206825,0.7676146881279505,0-1,0-2,0-2,1-2,2.129318812406998,0.8313546595921414,1.0327865569248462,-1.2979641528148567,-1.096532255482152
75.29505901180237,1.049984621634146,0.9481361555109613,0.7377699764666849,0.7505026741855984,0-1,0-2,0-2,1-2,2.12976143649591,0.8212346375618996,1.0366397520567132,-1.3085267989340101,-1.0931216844391967
75.31506301260252,1.0519480808512143,0.9518332816952251,0.7397897677161624,0.733619762191164,0-1,0-2,0-2,1-2,2.1300440271256456,0.8111397024207256,1.0404685975426162,-1.31890432470492,-1.0895754295830293
75.33506701340268,1.0538605704012476,0.9553001070459197,0.7418907259456857,0.7169693906979514,0-1,0-2,0-2,1-2,2.130167795438497,0.801074422344763,1.0442719150577808,-1.329093373093734,-1.0858958803807162
